,Id,Name,placeOfBirth,Gender,DateAcquired
3164,2587,Don Brown,United Kingdom,Male,1997
3166,65,Ford Madox Brown,France,Male,1923
3205,66,Frederick Brown,United Kingdom,Male,1918
3208,67,Kellock Brown,United Kingdom,Male,1924
3209,822,Mortimer Brown,United Kingdom,Male,1912
3210,823,Ralph Brown,United Kingdom,Male,1960
3211,821,Sir Arnesby Brown,United Kingdom,Male,1901
3214,2562,Hablot Knight Browne,United Kingdom,Male,1997
3221,824,Henriette Browne,France,Female,1868
3222,11982,Tania Bruguera,Cuba,Female,2010
3224,825,Reginald Brundrit,United Kingdom,Male,1938
3226,3824,Agostino Brunias,0,Male,2013
3227,2264,Peter Brüning,Germany,Male,1990
3228,826,John Brunsdon,United Kingdom,Male,1975
3231,827,Günter Brus,Austria,Male,1984
3252,14432,Paulo Bruscky,Brasil,Male,2011
3257,11951,Jo Bruton,United Kingdom,Female,2008
3258,9098,Fernando Bryce,Perú,Male,2006
3259,2738,Roderick Buchanan,United Kingdom,Male,2000
3260,2276,Carl Buchheister,Germany,Male,1991
3266,14637,Pavel Buchler,Czech Republica,Male,2011
3268,2483,Adam Buck,Ireland,Male,1997
3270,11696,Matthew Buckingham,United States,Male,2010
3271,828,Stephen Buckley,United Kingdom,Male,1979
3305,829,Bernard Buffet,France,Male,1985
3307,830,Robert Buhler,United Kingdom,Male,1948
3309,9058,Angela Bulloch,Canada,Female,2006
3311,2550,Charles Bunbury,0,Male,1997
3312,2416,Henry William Bunbury,United Kingdom,Male,1996
3343,831,Edgar Bundy,United Kingdom,Male,1905
3344,832,Charles Burchfield,United States,Male,1936
3345,6319,Chris Burden,United States,Male,2008
3349,833,Daniel Buren,France,Male,1980
3351,5625,John Burgess,0,Male,0
3352,834,Victor Burgin,United Kingdom,Male,1973
3364,835,Robert Burkert,United States,Male,1975
3369,836,Rodney J. Burn,United Kingdom,Male,1923
3375,68,Sir Edward Coley Burne-Jones  Bt,United Kingdom,Male,1916
3513,69,James Burnet,United Kingdom,Male,1913
3515,2558,John Burnet,United Kingdom,Male,1997
3516,2334,Edward Francis Burney,United Kingdom,Male,1997
3522,837,Edward Burra,United Kingdom,Male,1939
3540,838,Alberto Burri,Italia,Male,1965
3541,972,Angela Burt (née Dallas),0,Female,1975
3542,839,Laurence Burt,United Kingdom,Male,1964
3543,840,Scott Burton,United States,Male,1986
3545,70,William Shakespeare Burton,United Kingdom,Male,1919
3546,15853,Edward Burtynsky,Canada,Male,0
3547,841,Pol Bury,Belgium,Male,1967
3549,842,Jack Bush,Canada,Male,1975
3560,843,Simon Bussy,France,Male,1927
3563,6992,Jean-Marc Bustamante,France,Male,2004
3565,71,Elizabeth Butler,Switzerland,Female,1897
3566,72,Mildred Anne Butler,Ireland,Female,1896
3567,844,Reg Butler,United Kingdom,Male,1957
3584,73,Samuel Butler,United Kingdom,Male,1911
3585,2263,John Butts,Ireland,Male,1973
3586,74,Louis Buvelot,Switzerland,Male,1951
3587,11455,Gerard Byrne,Ireland,Male,2008
3588,14505,Pedro Cabrita Reis,Portugal,Male,2012
3592,9243,André Cadere,Poland,Male,2006
3593,845,John Cage,United States,Male,1983
3595,846,Miriam Cahn,Switzerland,Female,1987
3597,10611,Claude Cahun,France,Male,2007
3602,75,Neville Cain,United States,Male,1924
3603,847,Ghitta Caiserman-Roth,Canada,Female,1976
3604,76,Randolph Caldecott,United Kingdom,Male,1925
3607,848,Alexander Calder,United States,Male,1962
3611,77,Philip Hermogenes Calderon,France,Male,1891
3615,13491,Harry Callahan,United States,Male,2013
3621,78,Sir Augustus Wall Callcott,United Kingdom,Male,1847
3708,2692,Sophie Calle,France,Female,1999
3713,2396,Simon Callery,United Kingdom,Male,1996
3714,849,Manolis Calliyannis,Greece,Male,1956
3715,79,William Callow,United Kingdom,Male,1912
3743,80,Claude Calthrop,0,Male,1903
3744,2417,Charles Calvert,United Kingdom,Male,1997
3745,81,Edward Calvert,United Kingdom,Male,1912
3763,6260,Guillermo Calzadilla,Cuba,Male,0
3764,850,Sergio de Camargo,Brasil,Male,1965
3765,852,Katherine Cameron,United Kingdom,Female,1930
3767,851,Sir David Cameron,United Kingdom,Male,1917
3772,6211,Luis Camnitzer,Germany,Male,2004
3774,853,Jeffery Camp,United Kingdom,Male,1981
3776,12393,Duncan Campbell,Ireland,Male,2009
3777,2385,James Campbell,United Kingdom,Male,1996
3778,854,Steven Campbell,United Kingdom,Male,1986
3780,82,George B. Campion,0,Male,1898
3781,11797,Peter Campus,United States,Male,0
3782,2302,Canaletto,Italia,Male,0
