,Name
Mabel Nicholson,2
Valerie Parkinson,2
Frances Macdonald,2
Lorna Simpson,2
Sonia Boyce,2
Edna Ginesi,2
Olga Chernysheva,2
Elsie Marian Henderson,2
Christine Sullivan,2
Spartacus Chetwynd,2
Magda Cordell,2
Carol Rhodes,2
Winifred Knights,2
Judit Reigl,2
Jann Haworth,2
Candida Höfer,2
Sonia Delaunay,2
Tess Jaray,2
Siobhán Hapaska,2
Karla Black,2
Louise Pickard,2
Beatrice Bland,2
Dora Maurer,2
Céline Emilian,1
Margaret Priest,1
Judith Rothschild,1
Lucy Raven,1
Jac Leirner,1
Keren Cytter,1
Ulla von Brandenburg,1
Else Meidner,1
Dorothy Mead,1
Fiona Crisp,1
Bharti Kher,1
Chloe Cheese,1
Hilde Goldschmidt,1
Maude Boughton Leigh,1
Lygia Pape,1
Judi Werthein,1
Zarina Bhimji,1
Emily Wardill,1
Ithell Colquhoun,1
Judy Wong,1
Emma Ciardi,1
Clunie Reid,1
Nadia Benois,1
Christina Broom,1
Beatriz Gonzalez,1
Margaret Barker,1
Sarah Nechamkin,1
Evelyn Cheston,1
Anna Hope Hudson,1
Jananne Al-Ani,1
Clara Wheatley,1
Eve Kirk,1
Carmen Herrera,1
Marianne Unwin,1
Caragh Thuring,1
Henriette Browne,1
Lily D. Joseph,1
Catherine Sullivan,1
Catherine Dean,1
Babette Mangolte,1
Anni Albers,1
Wendy Pasmore,1
E.Q. Nicholson,1
Nicole Wermers,1
Wangechi Mutu,1
Monika Sosnowska,1
Mary Ford,1
Esther Pissarro,1
Lilian Holt,1
Hilda Carline,1
Lynda Benglis,1
Mary Gow,1
Cathy Wilkes,1
Nusch Eluard,1
Amy Sillman,1
Kay Hunt,1
Emily Osborn,1
Ruth Baehnisch,1
Francis Upritchard,1
Lis Rhodes,1
Georgina Macdonald,1
Yto Barrada,1
Ann Hamilton,1
Niki de Saint Phalle,1
Mary Hartley  of Bath,1
Vivian Forbes,1
Yoko Ono,1
Alina Szapocznikow,1
Lili Fleury,1
Karin Jonzen,1
Christine Borland,1
Anna Lena Vaney,1
Nazgol Ansarinia,1
Minerva Cuevas,1
Marie Cazin,1
Elizabeth Leveson-Gower Sutherland  Duchess-Countess of,1
Hayley Newman,1
Ghitta Caiserman-Roth,1
Anjali Monteiro,1
Violet Rutland  Duchess of,1
Catherine Lee,1
Anna Lea Merritt,1
Isa Genzken,1
Eleanor Antin,1
Andrea Zittel,1
Louisa Matthiasdottir,1
Hanne Darboven,1
Pae White,1
Susan Crawford,1
Mildred Anne Butler,1
Sarah Staton,1
Monir Shahroudy Farmanfarmaian,1
Ruth Ewan,1
Ann Mary Newton,1
Miriam Bäckström,1
Romey Brough,1
Dorothy Cross,1
Louise Hutchinson,1
Audrey Capel Doray,1
Ellen Cantor,1
Hester Reeve,1
Mithu Sen,1
Lee Bontecou,1
Grete Stern,1
Kathleen Gerrard,1
Nancy Spero,1
Anne Collier,1
Lady Dacre,1
Alison Turnbull,1
Claire Falkenstein,1
Simryn Gill,1
Hala Elkoussy,1
Valerie Large,1
Florence Engelbach,1
Lois Fine,1
Sylvia Melland,1
Nil Yalter,1
Carolee Schneemann,1
Margaret Fisher Prout,1
Vera Frenkel,1
Enid Marx,1
Suzanne Treister,1
Evelyn Ince,1
Lady Louisa Greville,1
Lady Gordon,1
Dee Ferris,1
Chryssa Vardea,1
Janice Jacobs,1
Abigail Lane,1
Georgina Starr,1
Annette Messager,1
Jo Baer,1
Clara Klinghoffer,1
Meraud Guevara,1
Stephanie Smith,1
Eija-Liisa Ahtila,1
Kate Blacker,1
Lady Spencer,1
Misch Kohn,1
Bela Kolárová,1
Joan Eardley,1
Sheila Black,1
Liza May Post,1
Fei Cao,1
Yayoi Kusama,1
Layla Curtis,1
Rosalind Nashashibi,1
Liz Rideal,1
Julian Phelps Allan,1
Sandra Gamarra,1
Elsa Fraenkel,1
Keiko Minami,1
Elizabeth Sorrell,1
Laetitia Yhap,1
Hilda Fearon,1
Felicia Leirner,1
Janet Cardiff,1
Edith Maud Rawdon-Hasting Loudoun  Countess of,1
Adriana Varejao,1
Melanie Jackson,1
Hou Bo,1
Yael Bartana,1
Joan Key,1
Feodora Gleichen,1
Leonor Fini,1
Rose Finn-Kelcey,1
Adolfine Ryland,1
Anna Barham,1
Anthea Hamilton,1
Maria Spilsbury,1
Carla Zaccagnini,1
Elizabeth Butler,1
Dorothy Bohm,1
Charlotte Perriand,1
Beatrice How,1
Sylvia Pankhurst,1
Eileen Lawrence,1
Svetlana Kopystiansky,1
Ursula Tyrwhitt,1
Suzanne Lacy,1
Jo Bruton,1
Shirin Neshat,1
Jo Feiler,1
Clare Atwood,1
Flora Lion,1
Runa Islam,1
Pauline Boty,1
Susan Philipsz,1
Rivane Neuenschwander,1
