,Id,Name,Nationality,Gender,DateAcquired
132368,48909,Dan Peterman,American,Male,2015
132369,48910,A. Strachov,Russian,0,2015
132372,48911,"""a.r."" group",Polish,0,2015
132377,48912,Umberto Luigi Ronco,Italian,Male,2015
132382,48913,Will Burtin,American,Male,2015
132386,48914,Sibylle Möllering-Kaldewey,German,Female,2015
132391,48915,Bruno Monguzzi,Swiss,Male,2015
132392,48916,Franz Josef Popp,German,Male,2015
132393,48917,Tamar Cohen,0,Female,2015
132394,48918,Paul Shaw,American,Male,2015
132397,48926,Melchior,0,0,2013
132398,48928,Ian Murray,0,0,2013
132399,48932,Burt Payne 3,0,0,2013
132400,48936,Deborah Sussman,American,Female,2015
132401,48937,Hendrik Willem van Loon,Dutch,Male,2015
132402,48953,Marcelo Ferraz,Brazilian,Male,0
132403,48985,Xaviera Simmons,American,Female,2017
132406,49055,Printex,Finnish,0,0
132407,49059,Muriel Cooper,American,Female,0
132408,49060,David Small,American,Male,0
132409,49061,Kim Beom,Korean,male,2016
132422,49077,Andrea Büttner,German,Female,2016
132427,49080,Joan Charysyn,American,Female,0
132428,49083,"MTA New York City Transit, Bergen Street Sign Shop",0,0,0
132429,49089,Clare Strand,British,Female,2016
132440,49093,Eric Owen Moss,American,Male,2016
132462,49095,Nancy Reddin Kienholz,American,Female,0
132463,49100,FZ,Czechoslovakian,0,1937
132464,49101,M. Palasek,Czechoslovakian,0,2016
132465,49102,Tvar Schlosser,Czechoslovakian,0,2016
132466,49103,Antonio Quintana Simonetti,Cuban,Male,0
132467,49104,Alberto Rodríguez Surribas,Cuban,Male,0
132468,49106,11 bit studios,Polish,0,2021
132469,49107,Lucas Pope,American,Male,2021
132471,49108,Loretta Lux,German,Female,2016
132472,49109,inri,Japanese,Female,0
132473,49116,Juan Andralis,0,Male,0
132474,49117,Hermelindo Fiaminghi,Brazilian,Male,2016
132476,49121,Tsibi Geva,Israeli,Male,2015
132485,49122,Michael Gitlin,South African,Male,2015
132494,49123,Phillip Rantzer,Israeli,Male,2015
132502,49125,Micha Ullman,Israeli,Male,2015
132513,49133,Jared Bark,American,Male,2016
132519,49140,Marco Brambilla,Italian,Male,2016
132520,49144,Robert Dowd,American,Male,2016
132521,49145,Phillip Hefferton,American,Male,2016
132522,49147,Munetsugu Satomi,Japanese,Male,1943
132524,49157,Sanne Sannes,Dutch,Male,2016
