,Name
Pearl Blauvelt,6
Germaine Richier,6
Katerina Lanfranco,6
Kerstin Brätsch,6
Zanele Muholi,6
James Nares,6
Marilyn Minter,6
Magdalena Abakanowicz,6
Shirazeh Houshiary,6
Jitka Hanzlová,6
Simone Nieweg,6
Miriam Schapiro,6
Shirana Shahbazi,6
Joyce Kozloff,6
Vanessa Beecroft,6
Sue Williams,6
Judy Pfaff,6
Sam Contis,6
Anupama Kundoo,6
Loren MacIver,6
Sonja Sekula,6
Joan Albert,6
Frances Stark,6
Anna Bella Geiger,6
Mamma Andersson,6
Dorit Margreiter,6
Louisa Chase,6
Mirtha Dermisache,6
Swoon,6
Kembra Pfahler,6
Carla Liss,5
Klara Liden,5
Gundula Schulze-Eldowy,5
Rosemary Mayer,5
Marian Mahler,5
Ann Craven,5
Andrea Büttner,5
Zofia Rydet,5
Kim Keever,5
Barbara Norfleet,5
Debra Hampton,5
Chloe Piene,5
Minna Citron,5
Claudia Comte,5
Anna Gaskell,5
Leonora Carrington,5
Paula Modersohn-Becker,5
Lenore Tawney,5
Katy Grannan,5
Gladys Nilsson,5
Sondra Perry,5
Deborah Fleming Caffery,5
Sage Sohier,5
Jo Ractliffe,5
Marie Losier,5
Edith Dekyndt,5
Teresa Moro,5
Marina Adams,5
Marilyn Bridges,5
Erin Shirreff,5
ORLAN (Mirielle Suzanne Francette Porte),5
Emma Amos,5
Anna Halprin,5
Lucia Moholy,5
Alice Hutchins,5
Sara VanDerBeek,5
Tala Madani,5
Christina Ramberg,5
Prunella Clough,5
Laurel Nakadate,5
Mary Miss,5
B. Ingrid Olson,5
Sharon Hayes,5
Nanny Still,5
Mary Bauermeister,5
Lynette Yiadom-Boakye,5
Joan Banach,5
Kerry Tribe,5
Běla Kolářová,5
Barbara Chase-Riboud,5
Grete Stern,5
Sibylle Möllering-Kaldewey,5
Sylvie Fleury,5
Hito Steyerl,5
Lori Ellison,5
Cecily Brown,5
Michelle Stuart,5
Flor Garduño,5
Lygia Pape,5
